incident_id,company_name,company_revenue_usd,company_size_revenue,country_hq,industry_primary,industry_secondary,tipo_industria,employee_count,company_size_employee,is_public_company,stock_ticker,incident_date,incident_year,incident_month,incident_quarter,incident_quarter_label,incident_year_quarter,incident_date_estimated,discovery_date,disclosure_date,attack_vector_primary,attack_vector_secondary,attack_vector_secondary_label,attack_chain,attributed_group,attribution_confidence,data_compromised_records,data_impact_category,data_type,systems_affected,downtime_hours,downtime_impact_category,quality_score,direct_loss_usd,ransom_paid_usd,recovery_cost_usd,regulatory_fine_usd,insurance_payout_usd,total_loss_usd,price_disclosure_day,sector_return_same_period,abnormal_return_1d,abnormal_return_30d,days_to_price_recovery,rango_recuperacion,estado_recuperacion,company_size
2021-0508-001,Quantum Asset Assurance Group Inc.,1343769307.79,1B–10B,US,52,54,Primaria y Secundaria,3940,Muy grande,True,QAA,2021-05-08,2021,5,2,Q2,2021 Q2,False,2021-05-12,2021-06-20,ransomware,,Sin vector secundario,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,NoName057,suspected,26888.0,Medio,mixed,"payment_systems,HR_systems",16.52,Bajo,97.89,12600000.0,0.0,9455354.49,90695.25,6756288.97,24642595.67,,,,,,,,Mediana
2025-1211-001,Quantum Apex Ventures Ltd.,63670593.18,< 1B,GB,51,,Solo Primaria,250,Grande,False,,2025-12-11,2025,12,4,Q4,2025 Q4,False,2026-02-13,2026-02-16,phishing,,Sin vector secundario,,FIN11,probable,41426.0,Medio,mixed,"file_servers,backup_systems,HR_systems,ERP",,Sin dato,86.74,7640471.18,0.0,5857150.47,0.0,2691027.33,15306810.06,,,,,,,,Pequeña
2023-0115-001,BitWire Innovations Corp.,24806189094.88,10B–100B,US,51,,Solo Primaria,71369,Muy grande,True,BITW,2023-01-15,2023,1,1,Q1,2023 Q1,False,2023-07-18,2023-09-03,trojan,ddos,ddos,Drive-by download from compromised ad network → remote access trojan deployment → keylogger activation → credential theft → lateral movement to file servers,,,,Sin dato,,HR_systems,,Sin dato,83.74,34881599.59,0.0,26404111.95,0.0,31759649.99,71616414.97,251.95,0.018777,-0.027129,-0.020181,255.0,>30 días,Recuperación lenta,Mediana
2021-0315-001,Sterling Forge Markets Holdings Inc.,139825903.53,< 1B,US,44-45,,Solo Primaria,912,Grande,True,SFM,2021-03-15,2021,3,1,Q1,2021 Q1,False,2021-04-03,2021-07-03,phishing,,Sin vector secundario,Spear-phishing campaign targeting finance team → credential harvesting through cloned SSO portal → email account compromise → BEC wire transfer or data exfiltration,,,1107796.0,Alto,mixed,"HR_systems,CRM,VPN",,Sin dato,94.51,4682151.47,0.0,3642946.48,0.0,1772460.33,9354133.8,9.09,0.002086,-0.03953,-0.045737,324.0,>30 días,Recuperación lenta,Pequeña
2021-1204-001,Sierra Quantum Innovations Group Inc.,691697737.03,< 1B,US,51,,Solo Primaria,1662,Muy grande,True,SQI,2021-12-04,2021,12,4,Q4,2021 Q4,False,2021-12-11,2022-01-20,data_breach,,Sin vector secundario,,,,621233.0,Alto,mixed,"SCADA,VPN",,Sin dato,79.82,2684607.92,0.0,2574871.33,0.0,,5466301.48,13.36,-0.014242,-0.020519,-0.01427,19.0,8-30 días,Recuperación rápida,Pequeña
2025-0617-001,Novak Systems Group Inc.,23049204977.6,10B–100B,US,31-33,,Solo Primaria,69223,Muy grande,False,,2025-06-17,2025,6,2,Q2,2025 Q2,False,2025-09-16,2025-10-26,data_breach,,Sin vector secundario,Misconfigured cloud storage bucket discovered by automated scanner → bulk data download over 72 hours → data posted to dark web marketplace,Cl0p,confirmed,207262.0,Alto,PII,"cloud_infrastructure,file_servers,HR_systems,CRM",,Sin dato,82.42,3735953.8,0.0,2340266.6,0.0,,7362428.28,,,,,,,,Mediana
2025-0821-001,Beacon Lumen Industries Holdings Inc.,271568021.35,< 1B,US,31-33,,Solo Primaria,2121,Muy grande,True,BLI,2025-08-21,2025,8,3,Q3,2025 Q3,False,2025-08-23,2025-10-01,apt,supply_chain,supply_chain,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,FIN11,probable,58001.0,Medio,health,"file_servers,VPN",129.37,Alto,90.37,1700929.83,0.0,607575.94,0.0,,2622297.67,,,,,,,,Pequeña
2024-0603-001,Anderson Securities Inc.,4681402229.24,1B–10B,US,52,,Solo Primaria,16493,Muy grande,False,,2024-06-03,2024,6,2,Q2,2024 Q2,False,2024-06-17,2024-06-27,ddos,,Sin vector secundario,Multi-vector botnet activation → volumetric UDP reflection (900 Gbps peak) → application-layer HTTP/2 flood → 18-hour service degradation,,,,Sin dato,,file_servers,15.91,Bajo,95.53,1200000.0,0.0,726046.15,0.0,781019.03,2149305.76,,,,,,,,Mediana
2021-0213-001,Stuttgart Distribution SE,733412842.38,< 1B,DE,44-45,,Solo Primaria,8169,Muy grande,True,STUT.DE,2021-02-13,2021,2,1,Q1,2021 Q1,True,2021-02-14,2021-04-05,data_breach,,Sin vector secundario,Misconfigured cloud storage bucket discovered by automated scanner → bulk data download over 72 hours → data posted to dark web marketplace,,,321215.0,Alto,credentials,payment_systems,,Sin dato,71.71,4864706.42,0.0,1593635.93,0.0,2496437.92,7790462.07,5.43,-0.006342,-0.029562,-0.010566,24.0,8-30 días,Recuperación rápida,Pequeña
2025-0529-001,BazaarBrand Stores Co.,39914029678.95,10B–100B,US,44-45,,Solo Primaria,776266,Muy grande,True,BAZA,2025-05-29,2025,5,2,Q2,2025 Q2,True,2025-06-05,2025-06-25,ransomware,,Sin vector secundario,,Killnet,suspected,30907.0,Medio,financial,"email,cloud_infrastructure,ERP,file_servers",91.85,Alto,82.4,34926502.77,252583.06,30382641.61,2181266.22,,75048970.02,441.08,-0.017191,-0.069433,-0.02627,313.0,>30 días,Recuperación lenta,Mediana
2021-1020-001,Nakamura Materials Corp.,9204366431.99,1B–10B,AT,31-33,92,Primaria y Secundaria,30196,Muy grande,True,NAKA.VI,2021-10-20,2021,10,4,Q4,2021 Q4,False,2021-11-21,2021-12-29,ransomware,malware,malware,,,,,Sin dato,,website,77.9,Alto,94.46,3798042.96,28164.97,3845502.4,0.0,,8788165.7,74.41,-0.016142,-0.065007,-0.057573,151.0,>30 días,Recuperación lenta,Mediana
